Datum;Herkunft;Bev̦lkerung
2015-01-31;1;275970
2015-01-31;2;128989
2015-02-28;1;276155
2015-02-28;2;129726
2015-03-31;1;275830
2015-03-31;2;129735
2015-04-30;1;276336
2015-04-30;2;130242
2015-05-31;1;276814
2015-05-31;2;130383
2015-06-30;1;277073
2015-06-30;2;130028
2015-07-31;2;129780
2015-07-31;1;277498
2015-08-31;1;277707
2015-08-31;2;130503
2015-09-30;1;278354
2015-09-30;2;131284
2015-10-31;1;278916
2015-10-31;2;131660
2015-11-30;1;279182
2015-11-30;2;131787
2015-12-31;1;279236
2015-12-31;2;131168
2016-01-31;2;130572
2016-01-31;1;279596
2016-02-29;2;131046
2016-02-29;1;280098
2016-03-31;1;280011
2016-03-31;2;131015
2016-04-30;1;280637
2016-04-30;2;131461
2016-05-31;1;280794
2016-05-31;2;131779
2016-06-30;1;280774
2016-06-30;2;131482
2016-07-31;1;280640
2016-07-31;2;131442
2016-08-31;1;280837
2016-08-31;2;131944
2016-09-30;2;133244
2016-09-30;1;281430
2016-10-31;1;281888
2016-10-31;2;133886
2016-11-30;1;282195
2016-11-30;2;134005
2016-12-31;1;282209
2016-12-31;2;133473
2017-01-31;1;282407
2017-01-31;2;134054
2017-02-28;1;282758
2017-02-28;2;134664
2017-03-31;2;134673
2017-03-31;1;282774
2017-04-30;1;283147
2017-04-30;2;135196
2017-05-31;1;283587
2017-05-31;2;135707
2017-06-30;1;283556
2017-06-30;2;135466
2017-07-31;1;283729
2017-07-31;2;135445
2017-08-31;1;284125
2017-08-31;2;135685
2017-09-30;2;136670
2017-09-30;1;285013
2017-10-31;1;285874
2017-10-31;2;137068
2017-11-30;1;286225
2017-11-30;2;137263
2017-12-31;1;286255
2017-12-31;2;137055
2018-01-31;1;286003
2018-01-31;2;136387
2018-02-28;1;286483
2018-02-28;2;137018
2018-03-31;1;286452
2018-03-31;2;136962
2018-04-30;2;137493
2018-04-30;1;286909
2018-05-31;1;287359
2018-05-31;2;137735
2018-06-30;1;287668
2018-06-30;2;137458
2018-07-31;1;287932
2018-07-31;2;137097
2018-08-31;1;288267
2018-08-31;2;137612
2018-09-30;1;289064
2018-09-30;2;138775
2018-10-31;2;139135
2018-10-31;1;289900
2018-11-30;2;138991
2018-11-30;1;290323
2018-12-31;1;290349
2018-12-31;2;138388
2019-01-31;1;290536
2019-01-31;2;138301
2019-02-28;1;290939
2019-02-28;2;138903
2019-03-31;1;290920
2019-03-31;2;138798
2019-04-30;1;291666
2019-04-30;2;138886
2019-05-31;1;292269
2019-05-31;2;139126
2019-06-30;2;138577
2019-06-30;1;292271
2019-07-31;1;292457
2019-07-31;2;138178
2019-08-31;1;292522
2019-08-31;2;138678
2019-09-30;1;293316
2019-09-30;2;139702
2019-10-31;1;293967
2019-10-31;2;140131
2019-11-30;1;294271
2019-11-30;2;140110
2019-12-31;2;139803
2019-12-31;1;294205
2020-01-31;1;294104
2020-01-31;2;139653
2020-02-29;1;294426
2020-02-29;2;140220
2020-03-31;1;294220
2020-03-31;2;139506
2020-04-30;1;294525
2020-04-30;2;138928
2020-05-31;1;294820
2020-05-31;2;138378
2020-06-30;1;294784
2020-06-30;2;138197
2020-07-31;2;137973
2020-07-31;1;294872
2020-08-31;1;294720
2020-08-31;2;138514
2020-09-30;1;295212
2020-09-30;2;139644
2020-10-31;1;295586
2020-10-31;2;139763
2020-11-30;1;295508
2020-11-30;2;139713
2020-12-31;1;295333
2020-12-31;2;139403
2021-01-31;2;138854
2021-01-31;1;295196
2021-02-28;2;138947
2021-02-28;1;295369
2021-03-31;1;295409
2021-03-31;2;138794
2021-04-30;1;295281
2021-04-30;2;138429
2021-05-31;1;295387
2021-05-31;2;138530
2021-06-30;1;295486
2021-06-30;2;138188
2021-07-31;1;295173
2021-07-31;2;137902
2021-08-31;2;138514
2021-08-31;1;295044
2021-09-30;2;140288
2021-09-30;1;295424
2021-10-31;1;295937
2021-10-31;2;140644
2021-11-30;1;296201
2021-11-30;2;140624
2021-12-31;1;295989
2021-12-31;2;140343
2022-01-31;1;295745
2022-01-31;2;140230
2022-02-28;1;295842
2022-02-28;2;140841
2022-03-31;2;141505
2022-03-31;1;295524
2022-04-30;1;295779
2022-04-30;2;142757
2022-05-31;1;295962
2022-05-31;2;143516
2022-06-30;1;295783
2022-06-30;2;143518
2022-07-31;1;295830
2022-07-31;2;143563
2022-08-31;1;295543
2022-08-31;2;144237
2022-09-30;1;295985
2022-09-30;2;145806
2022-10-31;2;146591
2022-10-31;1;296244
2022-11-30;1;296443
2022-11-30;2;147112
2022-12-31;1;296249
2022-12-31;2;146788
2023-01-31;1;295919
2023-01-31;2;146829
2023-02-28;1;296247
2023-02-28;2;147496
2023-03-31;1;296124
2023-03-31;2;147653
2023-04-30;2;148194
2023-04-30;1;296425
2023-05-31;2;148626
2023-05-31;1;296683
2023-06-30;1;296559
2023-06-30;2;148206
2023-07-31;1;296326
2023-07-31;2;148025
2023-08-31;1;296273
2023-08-31;2;148139
2023-09-30;1;296519
2023-09-30;2;149977
2023-10-31;1;296809
2023-10-31;2;150464
2023-11-30;1;296837
2023-11-30;2;150621
2023-12-31;1;296871
2023-12-31;2;150211
